name;price;percentage;benefits
Share-QQGZ;3.82;32.14;1.227748
Share-VPMV;34.12;9.71;3.313052
Share-PNTD;15.22;10.15;1.54483
Share-MYPY;24.11;21.97;5.296967
Share-QMVF;4.12;8.41;0.346492
Share-UFXW;30.73;12.44;3.822812
Share-MOVT;19.01;0.59;0.112159
Share-RGMB;30.2;31.47;9.50394
Share-YGKX;28.18;33.33;9.392394
Share-QOGS;10.56;12.33;1.302048
Share-EMDG;17.45;6.63;1.156935
Share-SKUO;0;23.55;0
Share-NCIK;0;30.27;0
Share-OTAO;28.29;20.29;5.740041
Share-CIWC;13.62;25.42;3.462204
Share-DQRQ;36.38;10.85;3.94723
Share-XPMV;28.12;37.48;10.539376
Share-OBKH;12.62;27.8;3.50836
Share-MLDY;22.61;21.33;4.822713
Share-JCPU;24.77;10.79;2.672683
Share-OPSM;0;26.28;0
Share-JHTJ;44.04;25.57;11.261028
Share-UBRS;0;31.14;0
Share-XHQJ;11.4;21.7;2.4738
Share-QDWQ;17.4;18.99;3.30426
Share-OXSN;15.68;4.53;0.710304
Share-VNXO;24.73;25.05;6.194865
Share-EFWR;29.32;1.82;0.533624
Share-GZUU;13.05;27.4;3.5757
Share-LPGN;17.14;15.14;2.594996
Share-VHYI;48.31;30;14.493
Share-FXBP;11.87;28.86;3.425682
Share-PLPK;18.66;17.63;3.289758
Share-OEDD;27.56;21.18;5.837208
Share-BMIQ;25.2;34.16;8.60832
Share-QINE;26.5;37.18;9.8527
Share-ITTV;29.61;24.14;7.147854
Share-QHTF;20.53;15.63;3.208839
Share-VBED;5.32;15.37;0.817684
Share-LTEB;37.59;0.25;0.093975
Share-OBVY;29.01;2.54;0.736854
Share-SHCI;14.79;36.82;5.445678
Share-VUSQ;47.69;0.16;0.076304
Share-BENA;23.31;6.15;1.433565
Share-BEQY;27.96;37.91;10.599636
Share-NQQC;38.86;10.16;3.948176
Share-RNXT;5.14;28.45;1.46233
Share-RIBY;15.67;35.99;5.639633
Share-HBPQ;23.43;25.99;6.089457
Share-BDME;25.61;0.62;0.158782
Share-FPVA;19.72;18.67;3.681724
Share-WVNM;24.33;8.21;1.997493
Share-MTFR;17.85;29.93;5.342505
Share-JGBU;21.05;9;1.8945
Share-IXFI;45.04;17.55;7.90452
Share-TMBL;19.74;8.61;1.699614
Share-PTYE;29.58;8.13;2.404854
Share-RDHG;37.82;0.45;0.17019
Share-TDWK;29;14.57;4.2253
Share-EVUW;4.44;39.22;1.741368
Share-HTJD;46.96;28.99;13.613704
Share-HHIZ;41.58;15.58;6.478164
Share-XBDW;26.12;9.6;2.50752
Share-PCHT;22.24;24.96;5.551104
Share-MOVE;12.3;21.15;2.60145
Share-HLYD;3.4;12.43;0.42262
Share-HIAN;35.75;19.1;6.82825
Share-YIOX;26.12;9.22;2.408264
Share-GRUT;498.76;39.42;196.611192
Share-UNHO;26.1;3;0.783
Share-FKJW;21.08;39.78;8.385624
Share-WQMQ;16.35;34.43;5.629305
Share-TFVA;37.16;37.69;14.005604
Share-ARAY;21.53;13.63;2.934539
Share-AHQO;28.18;15.38;4.334084
Share-SNVL;20.19;38.04;7.680276
Share-VUTC;22.42;10.32;2.313744
Share-LAHI;38.29;16.15;6.183835
Share-YOET;33.67;3.55;1.195285
Share-LQHP;26.14;4.73;1.236422
Share-YPGY;16.97;38.97;6.613209
Share-NHRO;21.77;7.48;1.628396
Share-GERI;26.26;25.32;6.649032
Share-OQCA;27.85;22.51;6.269035
Share-XRRF;11.13;13.29;1.479177
Share-CVFX;31.44;14.22;4.470768
Share-GXSF;37.2;37.15;13.8198
Share-QUWM;29.64;30.36;8.998704
Share-VONS;47.68;24.67;11.762656
Share-UEZE;2.93;29.39;0.861127
Share-KFOG;2.78;33.7;0.93686
Share-UXBG;6.08;34.58;2.102464
Share-LNMC;13.7;13.48;1.84676
Share-WUWO;35.81;20.15;7.215715
Share-WBWX;27.02;3.51;0.948402
Share-SMUS;23.92;33.62;8.041904
Share-NNDP;15.02;11.1;1.66722
Share-GTQK;15.4;39.95;6.1523
Share-KEUJ;34.5;17.23;5.94435
Share-CVLS;2.65;7.14;0.18921
Share-TGAD;19.06;18.58;3.541348
Share-XZWG;10.25;33;3.3825
Share-VLOZ;33.81;21.62;7.309722
Share-JPRI;30.54;30.15;9.20781
Share-AFAJ;29.12;34.82;10.139584
Share-TRSF;36.6;20.63;7.55058
Share-CBLS;30.38;10.95;3.32661
Share-ZVEO;4.78;6.35;0.30353
Share-BYJX;22.13;12.48;2.761824
Share-RAOW;28.24;6.94;1.959856
Share-AZDM;27.17;24.7;6.71099
Share-IBVH;6.04;22.03;1.330612
Share-JKZM;5.26;17.88;0.940488
Share-QKDN;28.55;39.21;11.194455
Share-QRBH;17.24;33.01;5.690924
Share-HQVQ;17.1;11.65;1.99215
Share-CFML;18.07;28.4;5.13188
Share-AGPL;15.87;15.17;2.407479
Share-ZORL;43.63;16.57;7.229491
Share-DDRH;44.61;23.06;10.287066
Share-NUZX;19.47;21.97;4.277559
Share-AMYS;23.48;6.08;1.427584
Share-KQDZ;16.02;38.42;6.154884
Share-LQXO;35.36;13.93;4.925648
Share-TNCT;37.36;18.23;6.810728
Share-KFMR;11.23;28.03;3.147769
Share-HZKM;0;37.07;0
Share-NZMA;36.61;22.14;8.105454
Share-MJEL;17.19;15.54;2.671326
Share-RBXY;37.09;31.65;11.738985
Share-OZBN;5.03;28.04;1.410412
Share-VQOW;20.31;37.12;7.539072
Share-SCKQ;40.89;36.29;14.838981
Share-WYIT;24.23;21.43;5.192489
Share-QUQS;13.43;36.39;4.887177
Share-QKFA;8.37;7.7;0.64449
Share-EAIO;23.78;37.86;9.003108
Share-FHZN;6.1;38.09;2.32349
Share-QVQY;6.53;15.23;0.994519
Share-BZBC;18.85;31.39;5.917015
Share-SULM;29.26;16.44;4.810344
Share-LYRY;21.56;16.08;3.466848
Share-VNMM;0;16.96;0
Share-YRRO;12.15;16.35;1.986525
Share-USSR;25.62;39.56;10.135272
Share-AXIX;5.73;33.7;1.93101
Share-OBYV;16.39;13.15;2.155285
Share-DAVZ;21.92;25.21;5.526032
Share-MTLR;16.49;39.97;6.591053
Share-BXTP;4.77;33.47;1.596519
Share-AQOR;25.45;35.47;9.027115
Share-MKUX;48.55;4.8;2.3304
Share-SBMG;43.85;24.85;10.896725
Share-XOFE;33.55;11.84;3.97232
Share-KTYA;39.18;25.4;9.95172
Share-LKLG;0;36.41;0
Share-AZTU;5.43;22.32;1.211976
Share-DUET;34.93;11.58;4.044894
Share-AQKA;33.58;22.08;7.414464
Share-LPDM;39.35;39.73;15.633755
Share-GUCL;4.64;12.1;0.56144
Share-EBOY;35.08;27.99;9.818892
Share-ZPTK;11.7;17.6;2.0592
Share-ZRZK;15.04;20.65;3.10576
Share-ZRIV;0;7.19;0
Share-MVVG;16.81;12.18;2.047458
Share-ROHB;23.75;30.7;7.29125
Share-GNJC;29.25;3.29;0.962325
Share-YVCE;41.5;24.53;10.17995
Share-FMLL;29.57;26.31;7.779867
Share-NUAX;24.42;35.44;8.654448
Share-PJTN;0;20.73;0
Share-FQJZ;16.41;20.04;3.288564
Share-HYQP;7.15;25.71;1.838265
Share-NLPL;8.45;22.64;1.91308
Share-IQMC;0.35;2.81;0.009835
Share-SJIV;26.49;33.61;8.903289
Share-OODL;5.61;0.6;0.03366
Share-UBYY;30.3;20.12;6.09636
Share-LPSQ;29.44;36.73;10.813312
Share-RSRH;26.64;31.39;8.362296
Share-WPTD;31.35;10.62;3.32937
Share-QGXD;38.05;21.13;8.039965
Share-BVQQ;9.87;20.53;2.026311
Share-PNBE;27.3;10.85;2.96205
Share-NYRP;23.91;14.05;3.359355
Share-GSGQ;3.57;13.5;0.48195
Share-QFOM;20.24;17.61;3.564264
Share-DWPD;16.13;29.87;4.818031
Share-IBSP;32.78;29.57;9.693046
Share-EJXB;9.32;2.01;0.187332
Share-UEZB;24.87;39.43;9.806241
Share-QXLZ;38.15;23.07;8.801205
Share-NWDK;33.94;5.75;1.95155
Share-XPQB;18.49;26.41;4.883209
Share-RNEE;15.93;7.05;1.123065
Share-BMWW;3.65;31.45;1.147925
Share-DLDY;2.62;4.29;0.112398
Share-EKHC;20.22;23.58;4.767876
Share-PSEN;10.73;34.65;3.717945
Share-BXWL;11.08;28.8;3.19104
Share-JEHD;20.22;16.62;3.360564
Share-HAKK;14.67;1.78;0.261126
Share-CQXK;42.48;19.54;8.300592
Share-NFHZ;28.09;11.42;3.207878
Share-VEOO;30.85;23.97;7.394745
Share-YQTP;27.63;21.53;5.948739
Share-APNK;33.9;26.71;9.05469
Share-FCIM;25.84;32.99;8.524616
Share-CWAN;21.78;5.52;1.202256
Share-ZGNB;17.54;37.44;6.566976
Share-WDYF;33.55;27.54;9.23967
Share-BRCC;48.93;33.39;16.337727
Share-OQKF;20.36;25.37;5.165332
Share-NOPE;33.63;1.17;0.393471
Share-ASGY;20.47;22.18;4.540246
Share-HBSR;25.7;16.14;4.14798
Share-CZIZ;39.47;32.75;12.926425
Share-MLUC;32.69;28.29;9.248001
Share-SGHI;30.02;2.93;0.879586
Share-CBUV;19.3;21.75;4.19775
Share-MOVJ;13.76;23.48;3.230848
Share-HAJM;6.01;8.56;0.514456
Share-IQQO;0;7.84;0
Share-OLMP;5.32;35.86;1.907752
Share-AUGU;20.67;23.88;4.935996
Share-DBFE;36.63;33.34;12.212442
Share-JEZT;24.55;7.96;1.95418
Share-GXSJ;19.93;12.79;2.549047
Share-XREJ;21.24;4.51;0.957924
Share-SALE;27.25;33.45;9.115125
Share-YSKI;0;24.41;0
Share-MYXT;23.78;30.09;7.155402
Share-WEOQ;4.82;13.53;0.652146
Share-NHWA;29.18;39.77;11.604886
Share-CYYC;0.42;5.88;0.024696
Share-XINI;13.23;26.15;3.459645
Share-JHWR;15.51;4.75;0.736725
Share-HSOR;17.87;17.02;3.041474
Share-DXOW;24.99;38.75;9.683625
Share-UMIB;44.93;35.08;15.761444
Share-GYWT;38.32;3.9;1.49448
Share-RQJV;20.73;31.27;6.482271
Share-MHUT;30.36;21.24;6.448464
Share-FNZM;22.38;34.75;7.77705
Share-KPYM;19.12;20.56;3.931072
Share-IIUJ;41.83;7.17;2.999211
Share-DDUF;36.49;11.67;4.258383
Share-VGUF;28.44;12.75;3.6261
Share-THNO;31.4;17.82;5.59548
Share-YYEN;25.73;4.43;1.139839
Share-RZCT;18.58;23.89;4.438762
Share-QRVU;16.96;35.36;5.997056
Share-VFGQ;16.36;23.61;3.862596
Share-URAA;30.91;25.18;7.783138
Share-EBAM;29.48;4.87;1.435676
Share-EAAY;23.25;32.93;7.656225
Share-XFNL;44.05;23.97;10.558785
Share-UTUI;22.78;31.75;7.23265
Share-AIRL;7.19;31.28;2.249032
Share-AYBY;40.52;10.72;4.343744
Share-PWDG;39.72;12.54;4.980888
Share-UGTV;46.13;28.3;13.05479
Share-GHIZ;28;39.89;11.1692
Share-UBEA;46.85;4.92;2.30502
Share-VNTG;30.54;25.47;7.778538
Share-NDSG;24.04;10.44;2.509776
Share-OYDA;20.5;10.85;2.22425
Share-KXOH;1.5;32.19;0.48285
Share-FAXV;29.03;32.58;9.457974
Share-QZWX;20.16;24.26;4.890816
Share-ABJM;21.17;38.29;8.105993
Share-OQSQ;5.07;26.84;1.360788
Share-APJH;26.51;38.5;10.20635
Share-HUNV;0;31.98;0
Share-EJFE;19.11;18.07;3.453177
Share-BGDY;2.46;16.15;0.39729
Share-PJBK;45.42;28.75;13.05825
Share-PAWY;21.86;32.65;7.13729
Share-KEYI;40.4;31.64;12.78256
Share-JUBL;29.67;2.33;0.691311
Share-BECH;35.91;3.26;1.170666
Share-WALV;29.53;27.89;8.235917
Share-DRAB;0;15.1;0
Share-KMTG;23.21;39.97;9.277037
Share-MKXO;26.44;19.97;5.280068
Share-QFPY;45.3;7.61;3.44733
Share-WZIF;20.04;5.6;1.12224
Share-VSIP;42.36;13.16;5.574576
Share-IFTU;37.65;13.98;5.26347
Share-WMHE;25.47;18.35;4.673745
Share-NMDR;22.27;32.97;7.342419
Share-MXAF;21.23;11.2;2.37776
Share-WVVQ;11.95;18.45;2.204775
Share-XFUI;20.81;32.5;6.76325
Share-KRLT;29.73;20.48;6.088704
Share-BCJD;13.65;17.02;2.32323
Share-GJTI;23.11;10.72;2.477392
Share-BKDN;34.66;18.97;6.575002
Share-ZSZF;26.57;19.68;5.228976
Share-LDCO;28.36;13.65;3.87114
Share-DBUJ;0.07;10.73;0.007511
Share-VBIE;46.52;1.98;0.921096
Share-CKEE;17.78;33.02;5.870956
Share-ZECG;43.32;30.76;13.325232
Share-PWWS;49.36;14.37;7.093032
Share-LOBE;39.3;31.97;12.56421
Share-HFXF;0;9.56;0
Share-NZHD;15.79;8.53;1.346887
Share-LDVW;26.9;37.09;9.97721
Share-PNHT;8.01;20.1;1.61001
Share-YNRH;15.48;20.67;3.199716
Share-CAEQ;36.56;39.17;14.320552
Share-VRCA;37.94;15.52;5.888288
Share-WSYK;24.52;25.99;6.372748
Share-XKDC;27.34;3.05;0.83387
Share-XUPB;16.58;21.26;3.524908
Share-IZTA;16.98;12.84;2.180232
Share-NFKM;42.83;16.48;7.058384
Share-ONRM;7.48;17.87;1.336676
Share-TSLL;31.42;7.71;2.422482
Share-HXDE;33.15;22.02;7.29963
Share-CUSU;2.66;32.49;0.864234
Share-ZYBC;39.09;28.26;11.046834
Share-KJRG;30.57;31.64;9.672348
Share-RYQW;0;1.88;0
Share-JPLO;9.81;30.98;3.039138
Share-PRLI;21.38;35.35;7.55783
Share-PCSR;28.48;0.93;0.264864
Share-ISXU;23.73;15.06;3.573738
Share-IUVO;8.47;13.86;1.173942
